Age,Experience,Education,Family,Zip,Income,Mortgage,Credit,Loan,Securities,Deposit,Online,Card
25,1,1,4,91107,49,0,1.60,0,1,0,0,0
45,19,1,3,90089,34,0,1.50,0,1,0,0,0
39,15,1,1,94720,11,0,1.00,0,0,0,0,0
35,9,2,1,94112,100,0,2.70,0,0,0,0,0
35,8,2,4,91330,45,0,1.00,0,0,0,0,1
37,13,2,4,92121,29,155,0.40,0,0,0,1,0
53,27,2,2,91711,72,0,1.50,0,0,0,1,0
50,24,3,1,93943,22,0,0.30,0,0,0,0,1
35,10,2,3,90089,81,104,0.60,0,0,0,1,0
34,9,3,1,93023,180,0,8.90,1,0,0,0,0
65,39,3,4,94710,105,0,2.40,0,0,0,0,0
29,5,2,3,90277,45,0,0.10,0,0,0,1,0
48,23,3,2,93106,114,0,3.80,0,1,0,0,0
59,32,2,4,94920,40,0,2.50,0,0,0,1,0
67,41,1,1,91741,112,0,2.00,0,1,0,0,0
60,30,3,1,95054,22,0,1.50,0,0,0,1,1
38,14,3,4,95010,130,134,4.70,1,0,0,0,0
42,18,1,4,94305,81,0,2.40,0,0,0,0,0
46,21,3,2,91604,193,0,8.10,1,0,0,0,0
55,28,2,1,94720,21,0,0.50,0,1,0,0,1
56,31,2,4,94015,25,111,0.90,0,0,0,1,0
57,27,3,3,90095,63,0,2.00,0,0,0,1,0
29,5,1,1,90277,62,260,1.20,0,0,0,1,0
44,18,1,2,91320,43,163,0.70,0,1,0,0,0
36,11,1,2,95521,152,159,3.90,0,0,0,0,1
43,19,1,3,94305,29,97,0.50,0,0,0,1,0
40,16,3,4,95064,83,0,0.20,0,0,0,0,0
46,20,1,1,90064,158,0,2.40,0,0,0,1,1
56,30,3,1,94539,48,0,2.20,0,0,0,1,1
38,13,2,1,94104,119,0,3.30,1,0,1,1,1
59,35,3,1,93106,35,122,1.20,0,0,0,1,0
40,16,2,1,94117,29,0,2.00,0,0,0,1,0
53,28,3,2,94801,41,193,0.60,0,0,0,0,0
30,6,3,3,91330,18,0,0.90,0,0,0,0,0
31,5,3,4,94035,50,0,1.80,0,0,0,1,0
48,24,1,3,92647,81,0,0.70,0,0,0,0,0
59,35,1,1,94720,121,0,2.90,0,0,0,0,1
51,25,3,1,95814,71,198,1.40,0,0,0,0,0
42,18,3,3,94114,141,0,5.00,1,1,1,1,0
38,13,3,4,94115,80,285,0.70,0,0,0,1,0
57,32,3,3,92672,84,0,1.60,0,1,0,0,0
34,9,1,3,94122,60,0,2.30,0,0,0,0,0
32,7,2,4,90019,132,412,1.10,1,0,0,1,0
39,15,1,1,95616,45,0,0.70,0,0,0,1,0
46,20,1,1,94065,104,0,5.70,0,0,0,1,1
57,31,1,4,94720,52,0,2.50,0,0,0,0,1
39,14,2,3,95014,43,153,0.70,0,0,0,1,0
37,12,3,4,91380,194,211,0.20,1,1,1,1,1
56,26,3,2,95747,81,0,4.50,0,0,0,0,1
40,16,1,1,92373,49,0,1.80,0,0,0,0,1
32,8,2,4,92093,8,0,0.70,0,1,0,1,0
61,37,1,1,94720,131,0,2.90,0,0,0,1,0
30,6,1,1,94005,72,207,0.10,0,0,0,0,0
50,26,3,3,90245,190,240,2.10,1,0,0,1,0
29,5,3,1,95819,44,0,0.20,0,0,0,1,0
41,17,1,2,94022,139,0,8.00,0,0,0,1,0
55,30,2,3,94005,29,0,0.10,0,1,1,1,0
56,31,3,2,95616,131,0,1.20,1,0,0,0,0
28,2,1,2,94065,93,0,0.20,0,0,0,0,0
31,5,1,2,91320,188,455,4.50,0,0,0,0,0
49,24,2,3,90404,39,0,1.70,0,1,0,1,0
47,21,1,1,93407,125,112,5.70,0,1,0,0,0
42,18,1,1,90089,22,0,1.00,0,0,0,0,0
42,17,2,4,94523,32,0,0.00,0,0,0,1,0
47,23,1,2,90024,105,0,3.30,0,0,0,0,0
59,35,1,1,91360,131,0,3.80,0,0,0,1,1
62,36,1,2,95670,105,336,2.80,0,0,0,0,0
53,23,3,4,95123,45,132,2.00,0,1,0,0,0
47,21,1,3,93407,60,0,2.10,0,0,0,1,1
53,29,1,4,90045,20,0,0.20,0,0,0,1,0
42,18,1,1,91335,115,0,3.50,0,0,0,0,1
53,29,2,4,93907,69,0,1.00,0,0,0,1,0
44,20,1,1,92007,130,0,5.00,0,0,0,0,1
41,16,3,1,94606,85,0,4.00,0,0,0,1,1
28,3,1,2,94611,135,0,3.30,0,0,0,0,1
31,7,2,4,94901,135,0,3.80,1,0,1,1,1
58,32,3,3,91320,12,0,0.30,0,0,0,0,0
46,20,2,3,92220,29,0,0.50,0,0,0,0,0
54,30,3,2,93305,133,0,2.60,1,0,0,0,0
50,26,1,2,94720,19,118,0.40,0,0,0,1,0
60,36,1,4,95134,41,174,1.30,0,0,0,1,1
47,22,2,3,94612,40,0,2.70,0,0,0,1,0
